Unique ID,Skeletal element,Archaeological culture,label,Group Date Range,Group,Date (2-sigma),Min Date,Max Date,Location,Country
I0423,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1200 BCE,3865,3215,Barinovka I Samara River Samara,Russia
I0424,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1600 BCE,3865,3615,Uvarovka I Samara River Samara,Russia
I0430,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1600 BCE,3865,3615,Spiridonovka II Samara River Samara,Russia
I0431,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1600 BCE,3865,3615,Spiridonovka II Samara River Samara,Russia
I0360,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1200 BCE,3865,3215,Spiridonovka IV Samara River Samara,Russia
I1271,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1272,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2830 calBCE (Beta 416456),4895,4845,El Mirador Cave Atapuerca Burgos,Spain
I1276,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1277,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2830-2820 calBCE (Beta 416457),4845,4835,El Mirador Cave Atapuerca Burgos,Spain
I1280,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1281,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2895-2855 calBCE (Beta 416458),4910,4870,El Mirador Cave Atapuerca Burgos,Spain
I1282,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1284,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1300,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1303,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I1314,Tooth,Iberia_Chalcolithic,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,2880-2630 BCE (Beta-296225 and Beta-296227),4775,4215,El Mirador Cave Atapuerca Burgos,Spain
I0409,Tooth,Iberia_EN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,5310-5218 calBCE (MAMS 16159),7326,7233,Els Trocs,Spain
I0410,Tooth,Iberia_EN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,5295-5066 calBCE (MAMS 16161),7193,7081,Els Trocs,Spain
I0412,Tooth,Iberia_EN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,5308-5080 calBCE (MAMS 16164),7325,7221,Els Trocs,Spain
I0413,Tooth,Iberia_EN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,5302-5074 calBCE (MAMS 16166),7318,7219,Els Trocs,Spain
I0405,Tooth,Iberia_MN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,3900-3600 BCE,5915,5615,La Mina,Spain
I0406,Tooth,Iberia_MN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,3900-3600 BCE,5915,5615,La Mina,Spain
I0407,Tooth,Iberia_MN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,3900-3600 BCE,5915,5615,La Mina,Spain
I0408,Tooth,Iberia_MN,INC,7.3-4.2 kya,Iberian Neolithic and Chalcolithic,3900-3600 BCE,5915,5615,La Mina,Spain
I0707,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0708,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0709,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0736,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0744,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0745,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0746,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1096,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1097,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1098,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1101,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1580,Petrous core (Cochlea),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8515,8215,Barcın,Turkey
I1581,Petrous core (Cochlea),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1583,Petrous core (Cochlea),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0723,Tooth,Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6400-5600 BCE,..,..,Menteşe,Turkey
I0724,Tooth,Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6400-5600 BCE,..,..,Menteşe,Turkey
I0727,Tooth,Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6400-5600 BCE,..,..,Menteşe,Turkey
I1579,Petrous core (Cochlea),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1585,Petrous core (Cochlea),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0231,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,2910-2875 calBCE (Beta 392487) ,4925,4890,Ekaterinovka Southern Steppe Samara,Russia
